time,kmph
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.2
13.0,1.7
14.0,5.4
15.0,9.9
16.0,13.1
17.0,16.9
18.0,21.7
19.0,26.0
20.0,27.5
21.0,28.1
22.0,28.3
23.0,28.8
24.0,29.1
25.0,30.8
26.0,31.9
27.0,34.1
28.0,36.6
29.0,39.1
30.0,41.3
31.0,42.5
32.0,43.3
33.0,43.9
34.0,44.4
35.0,44.5
36.0,44.2
37.0,42.7
38.0,39.9
39.0,37.0
40.0,34.6
41.0,32.3
42.0,29.0
43.0,25.1
44.0,22.2
45.0,20.9
46.0,20.4
47.0,19.5
48.0,18.4
49.0,17.8
50.0,17.8
51.0,17.4
52.0,15.7
53.0,13.1
54.0,12.1
55.0,12.0
56.0,12.0
57.0,12.0
58.0,12.3
59.0,12.6
60.0,14.7
61.0,15.3
62.0,15.9
63.0,16.2
64.0,17.1
65.0,17.8
66.0,18.1
67.0,18.4
68.0,20.3
69.0,23.2
70.0,26.5
71.0,29.8
72.0,32.6
73.0,34.4
74.0,35.5
75.0,36.4
76.0,37.4
77.0,38.5
78.0,39.3
79.0,39.5
80.0,39.0
81.0,38.5
82.0,37.3
83.0,37.0
84.0,36.7
85.0,35.9
86.0,35.3
87.0,34.6
88.0,34.2
89.0,31.9
90.0,27.3
91.0,22.0
92.0,17.0
93.0,14.2
94.0,12.0
95.0,9.1
96.0,5.8
97.0,3.6
98.0,2.2
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,0.0
106.0,0.0
107.0,0.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,0.0
112.0,0.0
113.0,0.0
114.0,0.0
115.0,0.0
116.0,0.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,0.0
138.0,0.2
139.0,1.9
140.0,6.1
141.0,11.7
142.0,16.4
143.0,18.9
144.0,19.9
145.0,20.8
146.0,22.8
147.0,25.4
148.0,27.7
149.0,29.2
150.0,29.8
151.0,29.4
152.0,27.2
153.0,22.6
154.0,17.3
155.0,13.3
156.0,12.0
157.0,12.6
158.0,14.1
159.0,17.2
160.0,20.1
161.0,23.4
162.0,25.5
163.0,27.6
164.0,29.5
165.0,31.1
166.0,32.1
167.0,33.2
168.0,35.2
169.0,37.2
170.0,38.0
171.0,37.4
172.0,35.1
173.0,31.0
174.0,27.1
175.0,25.3
176.0,25.1
177.0,25.9
178.0,27.8
179.0,29.2
180.0,29.6
181.0,29.5
182.0,29.2
183.0,28.3
184.0,26.1
185.0,23.6
186.0,21.0
187.0,18.9
188.0,17.1
189.0,15.7
190.0,14.5
191.0,13.7
192.0,12.9
193.0,12.5
194.0,12.2
195.0,12.0
196.0,12.0
197.0,12.0
198.0,12.0
199.0,12.5
200.0,13.0
201.0,14.0
202.0,15.0
203.0,16.5
204.0,19.0
205.0,21.2
206.0,23.8
207.0,26.9
208.0,29.6
209.0,32.0
210.0,35.2
211.0,37.5
212.0,39.2
213.0,40.5
214.0,41.6
215.0,43.1
216.0,45.0
217.0,47.1
218.0,49.0
219.0,50.6
220.0,51.8
221.0,52.7
222.0,53.1
223.0,53.5
224.0,53.8
225.0,54.2
226.0,54.8
227.0,55.3
228.0,55.8
229.0,56.2
230.0,56.5
231.0,56.5
232.0,56.2
233.0,54.9
234.0,52.9
