Table A1/7
WLTC, Class 3 vehicles, phase Low3
Time in s speed in km/h Time in s speed in km/h Time in s speed in km/h Time in s speed in km/h
0 0.0 47 19.5 94 12.0 141 11.7
1 0.0 48 18.4 95 9.1 142 16.4
2 0.0 49 17.8 96 5.8 143 18.9
3 0.0 50 17.8 97 3.6 144 19.9
4 0.0 51 17.4 98 2.2 145 20.8
5 0.0 52 15.7 99 0.0 146 22.8
6 0.0 53 13.1 100 0.0 147 25.4
7 0.0 54 12.1 101 0.0 148 27.7
8 0.0 55 12.0 102 0.0 149 29.2
9 0.0 56 12.0 103 0.0 150 29.8
10 0.0 57 12.0 104 0.0 151 29.4
11 0.0 58 12.3 105 0.0 152 27.2
12 0.2 59 12.6 106 0.0 153 22.6
13 1.7 60 14.7 107 0.0 154 17.3
14 5.4 61 15.3 108 0.0 155 13.3
15 9.9 62 15.9 109 0.0 156 12.0
16 13.1 63 16.2 110 0.0 157 12.6
17 16.9 64 17.1 111 0.0 158 14.1
18 21.7 65 17.8 112 0.0 159 17.2
19 26.0 66 18.1 113 0.0 160 20.1
20 27.5 67 18.4 114 0.0 161 23.4
21 28.1 68 20.3 115 0.0 162 25.5
22 28.3 69 23.2 116 0.0 163 27.6
23 28.8 70 26.5 117 0.0 164 29.5
24 29.1 71 29.8 118 0.0 165 31.1
25 30.8 72 32.6 119 0.0 166 32.1
26 31.9 73 34.4 120 0.0 167 33.2
27 34.1 74 35.5 121 0.0 168 35.2
28 36.6 75 36.4 122 0.0 169 37.2
29 39.1 76 37.4 123 0.0 170 38.0
30 41.3 77 38.5 124 0.0 171 37.4
31 42.5 78 39.3 125 0.0 172 35.1
32 43.3 79 39.5 126 0.0 173 31.0
33 43.9 80 39.0 127 0.0 174 27.1
34 44.4 81 38.5 128 0.0 175 25.3
35 44.5 82 37.3 129 0.0 176 25.1
36 44.2 83 37.0 130 0.0 177 25.9
37 42.7 84 36.7 131 0.0 178 27.8
38 39.9 85 35.9 132 0.0 179 29.2
39 37.0 86 35.3 133 0.0 180 29.6
40 34.6 87 34.6 134 0.0 181 29.5
41 32.3 88 34.2 135 0.0 182 29.2
42 29.0 89 31.9 136 0.0 183 28.3
43 25.1 90 27.3 137 0.0 184 26.1
44 22.2 91 22.0 138 0.2 185 23.6
45 20.9 92 17.0 139 1.9 186 21.0
46 20.4 93 14.2 140 6.1 187 18.9
ECE/TRANS/WP.29/2014/27
47
Time in s speed in km/h Time in s speed in km/h Time in s speed in km/h Time in s speed in km/h
188 17.1 237 49.2 286 37.4 335 15.0
189 15.7 238 48.4 287 40.7 336 14.5
190 14.5 239 46.9 288 44.0 337 14.3
191 13.7 240 44.3 289 47.3 338 14.5
192 12.9 241 41.5 290 49.2 339 15.4
193 12.5 242 39.5 291 49.8 340 17.8
194 12.2 243 37.0 292 49.2 341 21.1
195 12.0 244 34.6 293 48.1 342 24.1
196 12.0 245 32.3 294 47.3 343 25.0
197 12.0 246 29.0 295 46.8 344 25.3
198 12.0 247 25.1 296 46.7 345 25.5
199 12.5 248 22.2 297 46.8 346 26.4
200 13.0 249 20.9 298 47.1 347 26.6
201 14.0 250 20.4 299 47.3 348 27.1
202 15.0 251 19.5 300 47.3 349 27.7
203 16.5 252 18.4 301 47.1 350 28.1
204 19.0 253 17.8 302 46.6 351 28.2
205 21.2 254 17.8 303 45.8 352 28.1
206 23.8 255 17.4 304 44.8 353 28.0
207 26.9 256 15.7 305 43.3 354 27.9
208 29.6 257 14.5 306 41.8 355 27.9
209 32.0 258 15.4 307 40.8 356 28.1
210 35.2 259 17.9 308 40.3 357 28.2
211 37.5 260 20.6 309 40.1 358 28.0
212 39.2 261 23.2 310 39.7 359 26.9
213 40.5 262 25.7 311 39.2 360 25.0
214 41.6 263 28.7 312 38.5 361 23.2
215 43.1 264 32.5 313 37.4 362 21.9
216 45.0 265 36.1 314 36.0 363 21.1
217 47.1 266 39.0 315 34.4 364 20.7
218 49.0 267 40.8 316 33.0 365 20.7
219 50.6 268 42.9 317 31.7 366 20.8
220 51.8 269 44.4 318 30.0 367 21.2
221 52.7 270 45.9 319 28.0 368 22.1
222 53.1 271 46.0 320 26.1 369 23.5
223 53.5 272 45.6 321 25.6 370 24.3
224 53.8 273 45.3 322 24.9 371 24.5
225 54.2 274 43.7 323 24.9 372 23.8
226 54.8 275 40.8 324 24.3 373 21.3
227 55.3 276 38.0 325 23.9 374 17.7
228 55.8 277 34.4 326 23.9 375 14.4
229 56.2 278 30.9 327 23.6 376 11.9
230 56.5 279 25.5 328 23.3 377 10.2
231 56.5 280 21.4 329 20.5 378 8.9
232 56.2 281 20.2 330 17.5 379 8.0
233 54.9 282 22.9 331 16.9 380 7.2
234 52.9 283 26.6 332 16.7 381 6.1
235 51.0 284 30.2 333 15.9 382 4.9
236 49.8 285 34.1 334 15.6 383 3.7
ECE/TRANS/WP.29/2014/27
48
Time in s speed in km/h Time in s speed in km/h Time in s speed in km/h Time in s speed in km/h
384 2.3 433 31.3 482 0.0 531 0.0
385 0.9 434 31.1 483 0.0 532 0.0
386 0.0 435 30.6 484 0.0 533 0.2
387 0.0 436 29.2 485 0.0 534 1.2
